============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: 7
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R647 c-4 b378 m12558.0 rB
R648 c-5 b366 m12180.0 rU
R649 c-5 b378 m12546.0 rU
R650 c-6 b260 m12924.0 rH
R651 c-8 b127 m12664.0 rL
R652 c-8 b126 m12537.0 rH
R653 c-7 b250 m12411.0 rU
R654 c-9 b127 m12661.0 rL
R655 c-6 b252 m12534.0 rU
R656 c-6 b256 m12786.0 rS
R657 c-7 b254 m12658.0 rU
R658 c-7 b260 m12912.0 rU
R659 c-6 b264 m13172.0 rL
R660 c-5 b381 m12644.0 rU
R661 c-4 b393 m13025.0 rL
R662 c-1 b635 m12632.0 rL
R663 c-1 b600 m11997.0 rW
R664 c0 b882 m12597.0 rU
R665 c0 b945 m13479.0 rW
R666 c0 b870 m14424.0 rL
R667 c0 b816 m13554.0 rB
R668 c0 b768 m12738.0 rB
R669 c0 b840 m11970.0 rH
R670 c0 b784 m11130.0 rU
R671 c1 b960 m11914.0 rJ
R672 c0 b938 m13354.0 rD
R673 c-1 b670 m13354.0 rW
R674 c-2 b705 m14024.0 rL
R675 c-1 b670 m13319.0 rW
R676 c-1 b700 m13989.0 rU
R677 c-1 b735 m14689.0 rW
R678 c-1 b810 m16159.0 rU
R679 c-3 b680 m16969.0 rS
R680 c-3 b668 m16629.0 rU
R681 c-2 b865 m17297.0 rW
R682 c-4 b546 m18162.0 rD
R683 c-5 b546 m18162.0 rW
R684 c-7 b376 m18708.0 rL
R685 c-6 b368 m18332.0 rW
R686 c-4 b573 m19068.0 rL
R687 c-4 b555 m18495.0 rU
R688 c-3 b788 m19605.0 rS
R689 c-3 b772 m19211.0 rL
R690 c-3 b740 m18439.0 rL
R691 c0 b1062 m17699.0 rH
R692 c1 b1092 m15575.0 rU
R693 c2 b1503 m16667.0 rD
R694 c2 b1503 m16667.0 rB
R695 c2 b1216 m15164.0 rW
R696 c0 b1148 m16380.0 rS
R697 c0 b954 m15806.0 rD
R698 c-2 b795 m15806.0 rD
R699 c-2 b795 m15806.0 rU
R700 c-2 b835 m16601.0 rW
R701 c-2 b875 m17436.0 rH
R702 c-2 b830 m16561.0 rU
R703 c-2 b870 m17391.0 rH
R704 c-3 b664 m16521.0 rL
R705 c-3 b636 m15857.0 rU
R706 c-4 b495 m16493.0 rL
R707 c-2 b800 m15998.0 rH
R708 c-1 b760 m15198.0 rU
R709 c-3 b640 m15958.0 rL
R710 c-2 b770 m15318.0 rS
R711 c-2 b750 m14933.0 rL
R712 c-3 b568 m14183.0 rS
R713 c-2 b695 m13899.0 rU
R714 c-1 b730 m14594.0 rH
R715 c-2 b695 m13864.0 rL
R716 c-2 b660 m13169.0 rW
R717 c-2 b695 m13829.0 rB
R718 c-4 b396 m13134.0 rU
R719 c-5 b408 m13530.0 rH
R720 c-5 b396 m13122.0 rL
R721 c-2 b640 m12726.0 rH
