============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: H
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R273 c-1 b180 m3500.5 rL
R274 c-2 b170 m3320.5 rW
R275 c-1 b175 m3490.5 rL
R276 c0 b224 m3140.5 rH
R277 c-1 b150 m2916.5 rW
R278 c-1 b165 m3216.5 rW
R279 c-4 b102 m3381.5 rD
R280 c-4 b102 m3381.5 rL
R281 c-3 b132 m3279.5 rW
R282 c-4 b105 m3411.5 rL
R283 c-2 b165 m3201.5 rU
R284 c-1 b170 m3366.5 rW
R285 c0 b216 m3536.5 rW
R286 c0 b228 m3752.5 rB
R287 c-1 b180 m3524.5 rL
R288 c-1 b170 m3344.5 rB
R289 c-2 b160 m3174.5 rH
R290 c-3 b124 m3014.5 rU
R291 c-1 b160 m3138.5 rS
R292 c-1 b155 m3058.5 rU
R293 c0 b204 m3368.5 rL
R294 c0 b192 m3164.5 rD
R295 c0 b192 m3164.5 rL
R296 c1 b224 m2780.5 rW
R297 c0 b217 m3004.5 rB
R298 c0 b168 m2787.5 rL
R299 c1 b216 m2619.5 rB
R300 c1 b200 m2403.5 rJ
R301 c0 b196 m2703.5 rS
R302 c0 b162 m2605.5 rU
R303 c0 b180 m2929.5 rW
R304 c0 b192 m3109.5 rU
R305 c-1 b170 m3301.5 rL
R306 c0 b210 m2961.5 rH
R307 c1 b224 m2751.5 rL
R308 c1 b192 m2303.5 rU
R309 c1 b200 m2495.5 rW
R310 c0 b189 m2695.5 rU
R311 c0 b174 m2884.5 rL
R312 c0 b196 m2710.5 rD
R313 c0 b168 m2710.5 rS
R314 c0 b162 m2626.5 rL
R315 c0 b150 m2464.5 rL
R316 c0 b144 m2314.5 rB
R317 c0 b132 m2170.5 rU
R318 c-1 b120 m2302.5 rL
R319 c0 b154 m2182.5 rW
R320 c1 b168 m2336.5 rU
R321 c1 b208 m2504.5 rS
R322 c1 b200 m2400.5 rL
R323 c0 b161 m2200.5 rU
R324 c-1 b120 m2361.5 rH
R325 c-3 b92 m2241.5 rW
R326 c-2 b120 m2333.5 rB
R327 c-3 b92 m2213.5 rU
R328 c-2 b120 m2305.5 rW
R329 c-3 b100 m2425.5 rB
R330 c-3 b96 m2325.5 rH
R331 c-2 b115 m2229.5 rS
R332 c-3 b88 m2172.0 rD
R333 c-2 b110 m2172.0 rL
R334 c-1 b105 m2062.0 rS
R335 c0 b126 m2009.5 rS
R336 c0 b120 m1946.5 rJ
R337 c0 b132 m2126.5 rD
R338 c-2 b110 m2126.5 rL
R339 c-1 b105 m2016.5 rL
R340 c-1 b100 m1911.5 rW
R341 c0 b147 m2011.5 rH
R342 c0 b133 m1864.5 rH
R343 c0 b108 m1731.5 rW
R344 c0 b114 m1839.5 rL
R345 c1 b144 m1725.5 rH
R346 c0 b96 m1581.5 rL
R347 c2 b135 m1485.5 rL
R348 c2 b126 m1350.5 rU
R349 c2 b120 m1476.5 rJ
R350 c2 b153 m1656.5 rW
R351 c0 b133 m1809.5 rW
R352 c0 b120 m1942.5 rL
R353 c0 b108 m1702.5 rB
R354 c-1 b80 m1594.5 rU
R355 c0 b102 m1674.5 rB
R356 c0 b96 m1572.5 rU
R357 c-1 b85 m1668.5 rB
R358 c-2 b80 m1583.5 rU
R359 c-1 b85 m1663.5 rL
R360 c0 b96 m1578.5 rU
R361 c0 b102 m1674.5 rL
R362 c-1 b80 m1572.5 rW
R363 c-2 b85 m1652.5 rU
R364 c-1 b90 m1737.5 rJ
R365 c-2 b95 m1872.5 rW
R366 c-3 b80 m1967.5 rB
R367 c-4 b57 m1887.5 rJ
R368 c-5 b60 m1973.5 rB
R369 c-6 b40 m1913.5 rU
R370 c-5 b60 m1953.5 rS
R371 c-6 b40 m1923.5 rU
R372 c-5 b63 m2003.5 rL
R373 c-3 b76 m1877.5 rH
R374 c-2 b95 m1801.5 rB
R375 c-2 b90 m1706.5 rW
R376 c-2 b90 m1796.5 rD
R377 c0 b108 m1796.5 rJ
R378 c0 b120 m1958.5 rL
R379 c0 b133 m1838.5 rH
R380 c0 b108 m1705.5 rD
R381 c0 b108 m1705.5 rD
R382 c0 b108 m1705.5 rL
R383 c-1 b80 m1597.5 rB
R384 c-1 b80 m1517.5 rB
R385 c-1 b75 m1437.5 rW
R386 c-1 b80 m1512.5 rW
R387 c0 b96 m1592.5 rS
R388 c0 b96 m1544.5 rL
R389 c-1 b70 m1352.5 rU
R390 c0 b90 m1492.5 rS
R391 c0 b105 m1447.5 rU
R392 c0 b96 m1552.5 rS
R393 c0 b96 m1504.5 rH
R394 c-2 b75 m1408.5 rH
R395 c-1 b70 m1333.5 rD
R396 c-1 b70 m1333.5 rB
R397 c0 b78 m1263.5 rH
R398 c-2 b60 m1185.5 rU
R399 c-2 b65 m1245.5 rB
R400 c-2 b60 m1180.5 rH
R401 c-1 b60 m1120.5 rJ
R402 c-1 b65 m1210.5 rD
R403 c-1 b65 m1210.5 rW
R404 c0 b84 m1340.5 rU
R405 c-1 b75 m1424.5 rU
R406 c0 b112 m1574.5 rL
R407 c1 b120 m1462.5 rJ
R408 c0 b119 m1642.5 rS
R409 c0 b96 m1583.0 rS
R410 c0 b112 m1535.0 rU
R411 c0 b119 m1647.0 rW
R412 c0 b126 m1766.0 rH
R413 c0 b119 m1640.0 rU
R414 c0 b126 m1759.0 rU
R415 c0 b114 m1885.0 rU
R416 c-1 b100 m1999.0 rW
R417 c0 b126 m2099.0 rL
R418 c0 b120 m1973.0 rU
R419 c-1 b105 m2093.0 rD
R420 c0 b126 m2093.0 rJ
R421 c-1 b115 m2282.0 rD
R422 c-2 b115 m2282.0 rB
R423 c-3 b88 m2167.0 rW
R424 c-3 b92 m2255.0 rU
R425 c-4 b72 m2347.0 rU
R426 c-1 b125 m2491.0 rH
R427 c-1 b120 m2366.0 rD
R428 c0 b144 m2366.0 rH
R429 c-1 b115 m2222.0 rU
R430 c-2 b120 m2337.0 rH
R431 c-2 b115 m2217.0 rL
R432 c-2 b110 m2102.0 rL
R433 c-1 b95 m1882.0 rU
R434 c-3 b80 m1977.0 rJ
R435 c-4 b63 m2097.0 rW
R436 c-3 b88 m2160.0 rW
R437 c-1 b115 m2248.0 rD
R438 c-1 b115 m2248.0 rU
R439 c0 b175 m2478.0 rL
R440 c0 b144 m2303.0 rW
R441 c2 b200 m2447.0 rW
R442 c1 b216 m2647.0 rJ
R443 c0 b210 m2971.0 rB
R444 c0 b168 m2761.0 rJ
R445 c-1 b155 m3013.0 rB
R446 c-1 b145 m2858.0 rU
R447 c0 b192 m3148.0 rD
R448 c0 b192 m3148.0 rL
R449 c0 b210 m2956.0 rL
R450 c0 b196 m2746.0 rS
R451 c0 b162 m2648.0 rL
R452 c1 b175 m2486.0 rJ
R453 c1 b224 m2749.0 rB
R454 c0 b156 m2525.0 rW
R455 c-1 b135 m2681.0 rU
R456 c-2 b145 m2816.0 rW
R457 c-3 b120 m2961.0 rU
R458 c-2 b165 m3201.0 rB
R459 c-3 b124 m3036.0 rH
R460 c-2 b150 m2912.0 rW
R461 c-2 b155 m3062.0 rS
R462 c-2 b150 m2984.5 rW
R463 c-3 b128 m3134.5 rU
R464 c-4 b99 m3262.5 rB
R465 c-4 b96 m3163.5 rL
R466 c-4 b93 m3067.5 rW
R467 c-5 b96 m3160.5 rW
R468 c-5 b99 m3256.5 rL
R469 c-3 b128 m3157.5 rD
R470 c-4 b96 m3157.5 rW
R471 c-4 b102 m3349.5 rL
R472 c-5 b99 m3247.5 rW
R473 c-4 b102 m3346.5 rW
R474 c-1 b180 m3550.5 rD
R475 c0 b216 m3550.5 rB
R476 c0 b204 m3334.5 rB
R477 c-1 b160 m3130.5 rW
R478 c-2 b165 m3290.5 rW
R479 c0 b222 m3620.5 rL
R480 c0 b238 m3398.5 rH
R481 c1 b256 m3160.5 rW
R482 c0 b245 m3416.5 rW
R483 c0 b222 m3661.5 rS
R484 c0 b216 m3550.5 rU
R485 c-1 b190 m3766.5 rH
R486 c0 b204 m3386.5 rU
R487 c1 b252 m3590.5 rL
R488 c0 b204 m3338.5 rU
R489 c0 b266 m3746.5 rU
R490 c1 b301 m4278.5 rH
R491 c0 b240 m3977.5 rB
R492 c0 b228 m3737.5 rL
R493 c0 b216 m3509.5 rD
R494 c-1 b180 m3509.5 rH
R495 c0 b192 m3149.5 rU
R496 c-1 b170 m3341.5 rW
R497 c-2 b180 m3511.5 rU
R498 c-3 b148 m3691.5 rU
R499 c-1 b200 m3987.5 rU
R500 c-1 b210 m4187.5 rW
R501 c-3 b176 m4397.5 rW
R502 c-4 b138 m4573.5 rL
R503 c-4 b135 m4435.5 rS
R504 c-5 b132 m4368.0 rW
R505 c-5 b135 m4500.0 rH
R506 c-5 b132 m4365.0 rB
R507 c-5 b129 m4233.0 rS
R508 c-5 b126 m4168.5 rU
R509 c-6 b86 m4294.5 rW
R510 c-7 b88 m4380.5 rD
R511 c-5 b132 m4380.5 rB
R512 c-5 b129 m4248.5 rL
R513 c-4 b126 m4119.5 rW
R514 c0 b264 m4371.5 rS
R515 c0 b258 m4239.5 rS
R516 c-1 b210 m4110.5 rD
R517 c0 b252 m4110.5 rU
R518 c0 b264 m4362.5 rH
R519 c0 b246 m4098.5 rH
R520 c0 b222 m3606.5 rU
R521 c-1 b195 m3828.5 rL
R522 c-2 b185 m3633.5 rW
R523 c-2 b195 m3818.5 rL
R524 c0 b222 m3623.5 rW
R525 c-1 b195 m3845.5 rW
R526 c0 b258 m4235.5 rU
R527 c0 b270 m4493.5 rW
R528 c-2 b240 m4763.5 rB
R529 c-1 b230 m4523.5 rD
R530 c-1 b230 m4523.5 rU
R531 c-1 b240 m4753.5 rH
R532 c0 b276 m4513.5 rB
R533 c0 b258 m4237.5 rL
R534 c0 b240 m3979.5 rL
R535 c0 b266 m3739.5 rL
R536 c0 b210 m3473.5 rU
R537 c2 b333 m3683.5 rW
R538 c2 b328 m4016.5 rU
R539 c0 b308 m4344.5 rH
R540 c0 b246 m4036.5 rL
R541 c0 b266 m3790.5 rW
R542 c-1 b205 m4056.5 rH
R543 c0 b234 m3851.5 rW
R544 c0 b308 m4319.5 rW
R545 c0 b350 m4935.5 rU
R546 c0 b318 m5285.5 rS
R547 c0 b312 m5126.5 rU
R548 c0 b406 m5750.5 rW
