============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: X
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R439 c0 b1944 m32335.0 rS
R440 c-1 b1570 m31363.0 rU
R441 c-3 b1320 m32933.0 rU
R442 c-3 b1372 m34253.0 rJ
R443 c-4 b1092 m36311.0 rW
R444 c-5 b1125 m37403.0 rB
R445 c-5 b1089 m36278.0 rW
R446 c-3 b1540 m38456.0 rS
R447 c-3 b1508 m37686.0 rW
R448 c-4 b1224 m40702.0 rB
R449 c-5 b1185 m39478.0 rD
R450 c-3 b1580 m39478.0 rU
R451 c-2 b2055 m41058.0 rW
R452 c-3 b1728 m43113.0 rH
R453 c-4 b1242 m41385.0 rW
R454 c-4 b1281 m42627.0 rW
R455 c-5 b1320 m43908.0 rL
R456 c-2 b2130 m42588.0 rU
R457 c-2 b2240 m44718.0 rW
R458 c-2 b2350 m46958.0 rW
R459 c-1 b2585 m51658.0 rU
R460 c-3 b2172 m54243.0 rJ
R461 c-4 b1728 m57501.0 rW
R462 c-5 b1779 m59229.0 rU
R463 c-5 b1833 m61008.0 rS
R464 c-4 b1803 m60091.5 rU
R465 c-5 b1857 m61894.5 rL
R466 c-3 b2404 m60037.5 rB
R467 c-4 b1731 m57633.5 rU
R468 c-3 b2376 m59364.5 rU
R469 c-3 b2472 m61740.5 rB
R470 c-4 b1779 m59268.5 rS
R471 c-3 b2336 m58379.0 rS
R472 c-4 b1719 m57211.0 rU
R473 c-3 b2360 m58930.0 rL
R474 c-4 b1698 m56570.0 rH
R475 c-4 b1647 m54872.0 rH
R476 c-3 b2132 m53225.0 rL
R477 c0 b2940 m48961.0 rB
R478 c-2 b2305 m46021.0 rL
R479 c0 b2628 m43716.0 rD
R480 c0 b2628 m43716.0 rW
R481 c1 b3920 m48972.0 rW
R482 c0 b3174 m52892.0 rU
R483 c-1 b2805 m56066.0 rU
R484 c-2 b2945 m58871.0 rU
R485 c-3 b2476 m61816.0 rU
R486 c-4 b1929 m64292.0 rS
R487 c-3 b2536 m63327.5 rL
R488 c-1 b3040 m60791.5 rU
R489 c0 b3834 m63831.5 rW
R490 c-1 b3385 m67665.5 rL
R491 c0 b3654 m60895.5 rU
R492 c-1 b3230 m64549.5 rU
R493 c-3 b2712 m67779.5 rU
R494 c-1 b3525 m70491.5 rS
R495 c-1 b3440 m68729.0 rW
R496 c-3 b2888 m72169.0 rU
R497 c-3 b3004 m75057.0 rW
R498 c-1 b3905 m78061.0 rU
R499 c0 b6013 m85871.0 rS
R500 c0 b5803 m82864.5 rL
R501 c1 b6168 m77061.5 rB
R502 c1 b5672 m70893.5 rL
R503 c0 b4571 m65221.5 rS
R504 c0 b3780 m62936.0 rS
R505 c0 b3666 m61046.0 rB
R506 c0 b3444 m57380.0 rD
R507 c1 b4592 m57380.0 rS
R508 c0 b3857 m55084.0 rL
R509 c0 b3078 m51227.0 rU
