============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: O
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R538 c1 b1393 m19816.0 rL
R539 c3 b1665 m18423.0 rW
R540 c0 b1407 m20088.0 rU
R541 c-1 b1150 m22902.0 rD
R542 c0 b1380 m22902.0 rU
R543 c-3 b972 m24282.0 rU
R544 c-1 b1315 m26226.0 rD
R545 c1 b1841 m26226.0 rW
R546 c0 b1686 m28067.0 rL
R547 c0 b1584 m26381.0 rJ
R548 c-1 b1440 m28757.0 rU
R549 c0 b1812 m30197.0 rW
R550 c1 b2568 m32009.0 rL
R551 c2 b2360 m29441.0 rU
R552 c2 b2736 m34161.0 rU
R553 c2 b2952 m36897.0 rB
R554 c2 b3060 m33945.0 rU
R555 c2 b2968 m37005.0 rL
R556 c0 b2387 m34037.0 rL
R557 c1 b2344 m29263.0 rU
R558 c0 b1902 m31607.0 rU
R559 c1 b2352 m33509.0 rH
R560 c0 b1872 m31157.0 rB
R561 c0 b1758 m29285.0 rL
R562 c1 b1932 m27527.0 rU
R563 c1 b2360 m29459.0 rL
R564 c0 b1626 m27099.0 rU
R565 c0 b1728 m28725.0 rL
R566 c0 b1620 m26997.0 rH
R567 c1 b1778 m25377.0 rH
R568 c1 b1888 m23599.0 rL
R569 c4 b2180 m21711.0 rJ
R570 c3 b2250 m24981.0 rU
R571 c6 b2950 m29481.0 rL
R572 c3 b2394 m26531.0 rW
R573 c2 b2320 m28925.0 rD
R574 c1 b2030 m28925.0 rU
R575 c0 b1860 m30955.0 rU
R576 c0 b2429 m34675.0 rH
R577 c0 b1938 m32246.0 rW
R578 c-1 b1710 m34184.0 rB
R579 c-2 b1625 m32474.0 rU
R580 c-1 b1790 m35724.0 rL
R581 c-1 b1700 m33934.0 rB
R582 c-2 b1615 m32234.0 rL
R583 c2 b2328 m29004.0 rU
R584 c3 b3033 m33660.0 rB
R585 c4 b3070 m30627.0 rU
R586 c6 b3707 m33697.0 rW
R587 c6 b4120 m41111.0 rB
R588 c3 b3330 m36991.0 rW
R589 c0 b2424 m40321.0 rU
R590 c1 b3424 m42745.0 rW
R591 c1 b3696 m46169.0 rL
R592 c0 b2975 m42473.0 rL
R593 c-2 b1975 m39498.0 rW
R594 c-3 b1740 m43448.0 rL
R595 c-3 b1672 m41708.0 rU
R596 c-4 b1302 m43380.0 rL
R597 c-5 b1263 m42078.0 rB
R598 c-4 b1227 m40815.0 rH
R599 c-5 b1188 m39588.0 rL
R600 c-4 b1152 m38400.0 rU
R601 c-6 b792 m39552.0 rB
R602 c-7 b776 m38760.0 rU
