============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: S
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R590 c0 b408 m6766.0 rU
R591 c0 b432 m7174.0 rW
R592 c0 b462 m7606.0 rB
R593 c0 b432 m7144.0 rD
R594 c0 b432 m7144.0 rW
R595 c0 b486 m8008.0 rU
R596 c0 b510 m8494.0 rS
R597 c0 b498 m8239.0 rL
R598 c0 b468 m7741.0 rW
R599 c0 b498 m8209.0 rB
R600 c0 b468 m7711.0 rW
R601 c0 b492 m8179.0 rB
R602 c0 b462 m7687.0 rD
R603 c0 b462 m7687.0 rW
R604 c0 b492 m8149.0 rJ
R605 c0 b534 m8887.0 rU
R606 c0 b600 m9955.0 rU
R607 c0 b636 m10555.0 rW
R608 c0 b672 m11191.0 rH
R609 c0 b594 m9847.0 rL
R610 c0 b558 m9253.0 rU
R611 c0 b594 m9811.0 rB
R612 c0 b558 m9217.0 rW
R613 c0 b624 m10333.0 rJ
R614 c0 b678 m11269.0 rH
R615 c0 b636 m10591.0 rW
R616 c0 b678 m11227.0 rU
R617 c0 b720 m11905.0 rL
R618 c0 b630 m10465.0 rS
R619 c0 b612 m10150.0 rD
R620 c0 b612 m10150.0 rU
R621 c0 b648 m10762.0 rS
R622 c0 b630 m10438.0 rW
R623 c0 b666 m11068.0 rB
R624 c0 b630 m10402.0 rU
R625 c0 b666 m11032.0 rL
R626 c0 b582 m9700.0 rH
R627 c0 b552 m9118.0 rD
R628 c0 b552 m9118.0 rB
R629 c0 b516 m8566.0 rU
R630 c0 b546 m9082.0 rU
R631 c0 b582 m9628.0 rS
R632 c0 b564 m9337.0 rL
R633 c0 b528 m8773.0 rJ
R634 c0 b576 m9565.0 rW
R635 c0 b612 m10141.0 rB
R636 c0 b576 m9529.0 rB
R637 c0 b540 m8953.0 rU
R638 c0 b570 m9493.0 rB
R639 c0 b540 m8923.0 rL
R640 c0 b504 m8383.0 rW
R641 c0 b534 m8887.0 rJ
R642 c0 b582 m9688.0 rU
R643 c0 b618 m10270.0 rU
R644 c0 b696 m11506.0 rH
R645 c0 b654 m10810.0 rB
R646 c0 b612 m10156.0 rS
R647 c0 b594 m9850.0 rW
R648 c0 b666 m11038.0 rH
R649 c0 b624 m10372.0 rW
R650 c0 b660 m10996.0 rW
R651 c0 b702 m11656.0 rU
R652 c0 b744 m12358.0 rU
R653 c0 b834 m13846.0 rU
R654 c0 b882 m14680.0 rU
R655 c0 b936 m15562.0 rL
R656 c0 b882 m14626.0 rW
R657 c0 b936 m15508.0 rU
R658 c0 b990 m16444.0 rU
R659 c0 b1050 m17434.0 rH
R660 c0 b984 m16384.0 rB
R661 c0 b924 m15400.0 rH
R662 c0 b870 m14476.0 rW
R663 c0 b924 m15346.0 rU
R664 c0 b978 m16270.0 rU
R665 c0 b1038 m17248.0 rL
R666 c0 b912 m15172.0 rU
R667 c0 b966 m16084.0 rU
R668 c0 b1026 m17050.0 rU
R669 c0 b1086 m18076.0 rB
R670 c0 b1020 m16990.0 rS
R671 c0 b990 m16480.0 rW
R672 c0 b1050 m17470.0 rW
R673 c0 b1116 m18520.0 rW
R674 c0 b1248 m20752.0 rH
R675 c0 b1176 m19504.0 rW
R676 c0 b1242 m20680.0 rL
R677 c0 b1170 m19438.0 rL
R678 c0 b1098 m18268.0 rL
R679 c0 b1032 m17170.0 rB
R680 c0 b972 m16138.0 rL
R681 c0 b912 m15166.0 rU
R682 c0 b966 m16078.0 rH
R683 c0 b912 m15112.0 rS
R684 c0 b882 m14656.0 rU
R685 c0 b936 m15538.0 rL
R686 c0 b882 m14602.0 rW
R687 c0 b930 m15484.0 rU
R688 c0 b990 m16414.0 rU
R689 c0 b1050 m17404.0 rU
R690 c0 b1110 m18454.0 rB
R691 c0 b1044 m17344.0 rW
R692 c0 b1104 m18388.0 rH
R693 c0 b1038 m17284.0 rW
R694 c0 b1104 m18322.0 rL
R695 c0 b1038 m17218.0 rD
R696 c0 b1038 m17218.0 rU
R697 c0 b1098 m18256.0 rW
R698 c0 b1164 m19354.0 rS
R699 c0 b1128 m18772.0 rD
R700 c0 b1128 m18772.0 rB
R701 c0 b1062 m17644.0 rW
R702 c0 b1128 m18706.0 rL
R703 c0 b990 m16450.0 rL
R704 c0 b930 m15460.0 rW
R705 c0 b984 m16390.0 rH
R706 c0 b930 m15406.0 rJ
R707 c0 b1014 m16801.0 rU
R708 c0 b1074 m17815.0 rW
R709 c0 b1134 m18889.0 rH
R710 c0 b1068 m17755.0 rU
R711 c0 b1134 m18823.0 rL
R712 c0 b996 m16555.0 rL
R713 c0 b936 m15559.0 rS
R714 c0 b906 m15091.0 rH
