============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: T
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R700 c0 b7 m86.5 rU
R701 c0 b7 m93.5 rS
R702 c0 b7 m90.0 rB
R703 c0 b7 m83.0 rJ
R704 c0 b7 m94.0 rL
R705 c0 b7 m87.0 rU
R706 c0 b7 m94.0 rS
R707 c0 b7 m90.5 rU
R708 c0 b7 m97.5 rL
R709 c0 b7 m90.5 rU
R710 c0 b7 m97.5 rH
R711 c0 b7 m90.5 rH
R712 c0 b7 m76.5 rU
R713 c0 b7 m83.5 rL
R714 c0 b7 m76.5 rL
R715 c0 b7 m69.5 rU
R716 c0 b7 m83.5 rS
R717 c0 b7 m80.0 rW
R718 c0 b7 m87.0 rW
R719 c0 b7 m94.0 rL
R720 c0 b7 m87.0 rL
R721 c0 b7 m80.0 rW
R722 c0 b7 m87.0 rU
R723 c0 b6 m94.0 rL
R724 c0 b6 m88.0 rL
R725 c0 b6 m82.0 rS
R726 c0 b6 m79.0 rW
R727 c0 b6 m85.0 rL
R728 c0 b6 m79.0 rB
R729 c0 b6 m73.0 rD
R730 c0 b6 m73.0 rL
R731 c0 b6 m67.0 rH
R732 c0 b6 m61.0 rW
R733 c0 b6 m67.0 rU
R734 c0 b6 m73.0 rU
R735 c0 b6 m79.0 rB
R736 c0 b6 m73.0 rB
R737 c0 b7 m67.0 rU
R738 c0 b6 m74.0 rH
R739 c0 b6 m68.0 rJ
R740 c0 b6 m77.0 rL
R741 c0 b6 m71.0 rD
R742 c0 b6 m71.0 rU
R743 c0 b6 m77.0 rL
R744 c0 b6 m71.0 rU
R745 c0 b6 m77.0 rS
R746 c0 b6 m74.0 rS
R747 c0 b6 m71.0 rB
R748 c0 b6 m65.0 rU
R749 c0 b6 m71.0 rS
R750 c0 b6 m68.0 rJ
R751 c0 b6 m77.0 rL
R752 c0 b6 m71.0 rU
R753 c0 b6 m77.0 rD
R754 c0 b6 m77.0 rL
R755 c0 b6 m71.0 rB
R756 c0 b6 m65.0 rU
R757 c0 b6 m71.0 rU
R758 c0 b6 m77.0 rJ
R759 c0 b6 m86.0 rW
R760 c0 b6 m92.0 rW
R761 c0 b6 m98.0 rL
R762 c0 b6 m92.0 rU
R763 c0 b6 m98.0 rJ
R764 c0 b12 m107.0 rW
R765 c0 b12 m119.0 rU
