============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: T
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R335 c-5 b717 m23855.5 rW
R336 c-5 b738 m24572.5 rB
R337 c-5 b717 m23834.5 rL
R338 c-8 b232 m23117.5 rW
R339 c-7 b472 m23581.5 rW
R340 c-5 b738 m24525.5 rL
R341 c-5 b714 m23787.5 rH
R342 c-5 b693 m23073.5 rW
R343 c-8 b245 m24459.5 rW
R344 c-10 b248 m24704.5 rW
R345 c-10 b250 m24952.5 rL
R346 c-10 b248 m24702.5 rU
R347 c-10 b250 m24950.5 rU
R348 c-8 b253 m25200.5 rW
R349 c-10 b255 m25453.5 rB
R350 c-10 b252 m25198.5 rW
R351 c-10 b255 m25450.5 rU
R352 c-10 b258 m25705.5 rS
R353 c-10 b256 m25576.5 rS
R354 c-10 b255 m25448.5 rH
R355 c-8 b252 m25193.5 rL
R356 c-7 b494 m24689.5 rB
R357 c-7 b484 m24195.5 rL
R358 c-5 b714 m23711.5 rL
R359 c-8 b230 m22997.5 rH
R360 c-10 b228 m22767.5 rW
R361 c-10 b230 m22995.5 rU
R362 c-10 b233 m23225.5 rU
R363 c-10 b235 m23458.5 rW
R364 c-10 b237 m23693.5 rL
R365 c-8 b235 m23456.5 rB
R366 c-6 b466 m23221.5 rS
R367 c-7 b460 m22988.5 rH
R368 c-10 b226 m22528.5 rH
R369 c-10 b224 m22302.5 rW
R370 c-10 b226 m22526.5 rH
R371 c-9 b224 m22300.5 rL
R372 c-9 b221 m22076.5 rW
R373 c-8 b223 m22297.5 rB
R374 c-8 b221 m22074.5 rD
R375 c-8 b221 m22074.5 rL
R376 c-6 b438 m21853.5 rU
R377 c-8 b223 m22291.5 rW
R378 c-9 b228 m22737.5 rL
R379 c-7 b452 m22509.5 rH
R380 c-4 b651 m21605.5 rU
R381 c-1 b1115 m22256.5 rS
R382 c-1 b1085 m21699.0 rJ
R383 c-1 b1170 m23327.0 rJ
R384 c-3 b1004 m25082.0 rU
R385 c-6 b522 m26086.0 rH
R386 c-4 b753 m25042.0 rL
R387 c-7 b486 m24289.0 rW
R388 c-7 b496 m24775.0 rW
R389 c-10 b253 m25271.0 rL
R390 c-10 b251 m25018.0 rB
R391 c-10 b248 m24767.0 rH
R392 c-10 b246 m24519.0 rU
R393 c-10 b248 m24765.0 rL
R394 c-8 b246 m24517.0 rB
R395 c-8 b243 m24271.0 rW
R396 c-7 b496 m24757.0 rL
R397 c-6 b486 m24261.0 rD
R398 c-7 b486 m24261.0 rJ
R399 c-8 b250 m24990.0 rL
R400 c-8 b248 m24740.0 rW
R401 c-8 b250 m24988.0 rL
R402 c-10 b248 m24738.0 rW
R403 c-10 b250 m24986.0 rL
R404 c-10 b248 m24736.0 rW
R405 c-10 b253 m25232.0 rU
R406 c-8 b258 m25738.0 rU
R407 c-5 b780 m25996.0 rL
R408 c-5 b759 m25216.0 rW
R409 c-5 b780 m25975.0 rL
R410 c-5 b756 m25195.0 rU
R411 c-3 b1040 m25951.0 rH
R412 c-2 b1250 m24911.0 rL
R413 c-1 b1185 m23661.0 rW
R414 c-2 b1245 m24846.0 rW
R415 c-3 b1044 m26091.0 rL
R416 c-5 b753 m25047.0 rH
R417 c-6 b486 m24294.0 rJ
R418 c-8 b251 m25023.0 rB
R419 c-6 b496 m24772.0 rL
R420 c-4 b729 m24276.0 rL
R421 c-7 b472 m23547.0 rL
R422 c-9 b231 m23075.0 rU
R423 c-6 b468 m23306.0 rU
R424 c-4 b714 m23774.0 rU
R425 c-5 b735 m24488.0 rS
R426 c-7 b484 m24120.5 rU
R427 c-6 b502 m25088.5 rD
R428 c-6 b502 m25088.5 rJ
R429 c-7 b518 m25841.5 rB
R430 c-6 b508 m25323.5 rU
R431 c-8 b259 m25831.5 rS
R432 c-9 b258 m25702.0 rW
R433 c-9 b260 m25960.0 rL
R434 c-7 b514 m25700.0 rL
R435 c-5 b756 m25186.0 rL
R436 c-1 b1185 m23674.0 rW
R437 c-1 b1305 m26044.0 rS
R438 c-2 b1270 m25391.5 rL
R439 c-1 b1210 m24121.5 rL
R440 c0 b1380 m22911.5 rU
R441 c-1 b1215 m24291.5 rJ
R442 c0 b1572 m26114.5 rU
R443 c0 b1939 m27686.5 rB
R444 c2 b2322 m25747.5 rH
R445 c-1 b1175 m23425.5 rL
R446 c-3 b892 m22250.5 rS
R447 c-5 b657 m21804.5 rD
R448 c-7 b438 m21804.5 rL
R449 c-8 b210 m20928.5 rU
R450 c-6 b424 m21138.5 rS
R451 c-8 b210 m20926.5 rD
R452 c-6 b420 m20926.5 rW
R453 c-3 b856 m21346.5 rB
R454 c-1 b1025 m20490.5 rW
R455 c-3 b864 m21515.5 rL
