============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: T
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R488 c-1 b2260 m45179.0 rH
R489 c-1 b2150 m42919.0 rH
R490 c-1 b2040 m40769.0 rL
R491 c-1 b1940 m38729.0 rL
R492 c-1 b1840 m36789.0 rS
R493 c-1 b1795 m35869.0 rL
R494 c-1 b1705 m34074.0 rU
R495 c-1 b1790 m35779.0 rU
R496 c-1 b1880 m37569.0 rB
R497 c-1 b1785 m35689.0 rU
R498 c0 b2358 m39259.0 rW
R499 c0 b2502 m41617.0 rD
R500 c0 b2502 m41617.0 rH
R501 c0 b2352 m39115.0 rL
R502 c0 b2208 m36763.0 rB
R503 c0 b2076 m34555.0 rL
R504 c0 b1950 m32479.0 rB
R505 c0 b1836 m30529.0 rS
R506 c0 b1782 m29611.0 rL
R507 c0 b1674 m27829.0 rW
R508 c0 b1776 m29503.0 rL
R509 c0 b1668 m27727.0 rL
R510 c0 b1566 m26059.0 rH
R511 c0 b1470 m24493.0 rW
R512 c0 b1560 m25963.0 rU
R513 c0 b1656 m27523.0 rL
R514 c0 b1554 m25867.0 rL
R515 c0 b1464 m24313.0 rD
R516 c0 b1464 m24313.0 rD
R517 c0 b1464 m24313.0 rU
R518 c0 b1548 m25777.0 rH
R519 c0 b1458 m24229.0 rL
R520 c0 b1368 m22771.0 rJ
R521 c0 b1494 m24823.0 rS
R522 c0 b1446 m24076.0 rJ
R523 c0 b1578 m26245.0 rH
R524 c0 b1482 m24667.0 rB
R525 c0 b1392 m23185.0 rU
R526 c0 b1476 m24577.0 rW
R527 c0 b1566 m26053.0 rW
R528 c0 b1662 m27619.0 rD
R529 c0 b1662 m27619.0 rB
R530 c0 b1560 m25957.0 rU
R531 c0 b1746 m29077.0 rW
R532 c0 b1854 m30823.0 rU
R533 c0 b1962 m32677.0 rB
R534 c-1 b1540 m30715.0 rU
R535 c-1 b1615 m32255.0 rL
R536 c0 b1746 m29025.0 rH
R537 c0 b1638 m27279.0 rH
R538 c0 b1446 m24003.0 rH
R539 c-1 b1130 m22557.0 rL
R540 c0 b1290 m21427.0 rS
R541 c0 b1248 m20782.0 rL
R542 c0 b1176 m19534.0 rD
R543 c0 b1176 m19534.0 rL
R544 c0 b1104 m18358.0 rD
R545 c0 b1104 m18358.0 rH
R546 c0 b1038 m17254.0 rU
R547 c0 b1098 m18292.0 rU
R548 c0 b1164 m19390.0 rU
R549 c0 b1236 m20554.0 rB
R550 c0 b1164 m19318.0 rW
R551 c0 b1230 m20482.0 rW
R552 c0 b1308 m21712.0 rU
R553 c0 b1386 m23020.0 rU
R554 c0 b1470 m24406.0 rW
R555 c0 b1554 m25876.0 rJ
R556 c0 b1698 m28207.0 rU
R557 c0 b1902 m31603.0 rW
R558 c0 b2016 m33505.0 rL
R559 c0 b1890 m31489.0 rJ
R560 c0 b2064 m34324.0 rW
R561 c0 b2184 m36388.0 rU
R562 c0 b2316 m38572.0 rW
R563 c0 b2598 m43204.0 rB
R564 c0 b2442 m40606.0 rL
R565 c0 b2292 m38164.0 rS
R566 c0 b2226 m37018.0 rL
R567 c0 b2088 m34792.0 rB
R568 c0 b1968 m32704.0 rU
R569 c0 b2082 m34672.0 rH
R570 c0 b1956 m32590.0 rD
R571 c0 b1956 m32590.0 rJ
R572 c0 b2136 m35524.0 rD
R573 c0 b2136 m35524.0 rU
R574 c0 b2388 m39796.0 rL
R575 c0 b2250 m37408.0 rH
R576 c0 b2112 m35158.0 rD
R577 c0 b2112 m35158.0 rL
R578 c0 b1986 m33046.0 rL
R579 c0 b1866 m31060.0 rS
R580 c0 b1812 m30127.0 rJ
R581 c0 b1974 m32845.0 rJ
R582 c0 b2154 m35806.0 rW
R583 c0 b2280 m37960.0 rW
R584 c0 b2418 m40240.0 rL
R585 c0 b2274 m37822.0 rD
R586 c0 b2274 m37822.0 rH
R587 c0 b2136 m35548.0 rU
R588 c0 b2262 m37684.0 rU
R589 c0 b2400 m39946.0 rB
R590 c0 b2256 m37546.0 rW
R591 c0 b2394 m39802.0 rL
R592 c0 b2250 m37408.0 rU
R593 c0 b2520 m41908.0 rS
R594 c0 b2442 m40648.0 rH
R595 c0 b2298 m38206.0 rD
R596 c0 b2298 m38206.0 rH
R597 c0 b2160 m35908.0 rL
R598 c0 b1896 m31588.0 rU
