============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: X
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R617 c9 b168 m1309.0 rS
R618 c10 b156 m1225.0 rU
R619 c7 b154 m1381.0 rB
R620 c8 b156 m1227.0 rW
R621 c10 b192 m1539.0 rL
R622 c10 b168 m1347.0 rH
R623 c9 b144 m1179.0 rW
R624 c10 b168 m1323.0 rL
R625 c10 b144 m1155.0 rW
R626 c8 b156 m1299.0 rD
R627 c8 b156 m1299.0 rU
R628 c5 b150 m1455.0 rH
R629 c1 b112 m1305.0 rW
R630 c0 b105 m1417.0 rD
R631 c7 b165 m1417.0 rS
R632 c10 b168 m1334.5 rL
R633 c10 b120 m998.5 rL
R634 c10 b108 m878.5 rW
R635 c10 b120 m986.5 rU
R636 c10 b156 m1226.5 rW
R637 c10 b192 m1538.5 rU
R638 c7 b198 m1730.5 rB
R639 c10 b192 m1532.5 rJ
R640 c10 b228 m1820.5 rW
R641 c8 b252 m2048.5 rU
R642 c7 b264 m2300.5 rU
R643 c8 b312 m2564.5 rW
R644 c6 b319 m2876.5 rU
R645 c10 b384 m3195.5 rL
R646 c7 b319 m2811.5 rH
R647 c6 b242 m2173.5 rL
R648 c10 b240 m1931.5 rL
R649 c8 b204 m1691.5 rJ
R650 c7 b220 m1997.5 rL
R651 c10 b216 m1777.5 rW
R652 c10 b276 m2209.5 rW
R653 c9 b300 m2485.5 rU
R654 c9 b336 m2785.5 rU
R655 c10 b420 m3457.5 rL
R656 c8 b372 m3037.5 rS
R657 c7 b319 m2851.5 rH
R658 c10 b312 m2532.5 rW
R659 c7 b319 m2844.5 rL
R660 c10 b276 m2206.5 rS
R661 c9 b252 m2068.5 rU
R662 c10 b312 m2572.5 rU
R663 c9 b348 m2884.5 rH
R664 c10 b312 m2536.5 rL
R665 c10 b276 m2224.5 rW
R666 c8 b312 m2500.5 rL
R667 c9 b228 m1876.5 rW
R668 c6 b242 m2104.5 rS
R669 c6 b220 m1983.5 rL
R670 c6 b198 m1763.5 rS
R671 c10 b204 m1664.5 rU
R672 c10 b228 m1868.5 rB
R673 c9 b204 m1640.5 rL
R674 c10 b180 m1436.5 rW
R675 c9 b204 m1616.5 rU
R676 c9 b228 m1820.5 rU
R677 c8 b252 m2048.5 rL
R678 c9 b216 m1796.5 rW
R679 c10 b276 m2228.5 rW
R680 c8 b312 m2504.5 rU
R681 c10 b348 m2816.5 rW
R682 c10 b432 m3512.5 rS
R683 c10 b396 m3296.5 rW
R684 c8 b444 m3692.5 rL
R685 c9 b348 m2804.5 rL
R686 c10 b264 m2108.5 rD
R687 c7 b242 m2108.5 rW
R688 c5 b240 m2350.5 rU
R689 c10 b312 m2590.5 rL
R690 c10 b276 m2278.5 rL
R691 c10 b252 m2002.5 rS
R692 c10 b228 m1876.5 rJ
R693 c10 b276 m2218.5 rL
R694 c10 b240 m1942.5 rS
R695 c9 b228 m1822.5 rW
R696 c8 b252 m2050.5 rS
R697 c7 b220 m1924.5 rW
R698 c7 b242 m2144.5 rD
R699 c10 b264 m2144.5 rW
R700 c10 b300 m2408.5 rB
R701 c7 b242 m2108.5 rL
R702 c10 b228 m1866.5 rL
R703 c9 b204 m1638.5 rB
R704 c10 b180 m1434.5 rU
R705 c8 b204 m1614.5 rB
R706 c7 b165 m1410.5 rW
R707 c6 b176 m1575.5 rW
R708 c6 b198 m1751.5 rL
R709 c7 b176 m1553.5 rS
R710 c10 b180 m1465.5 rJ
R711 c8 b216 m1735.5 rL
R712 c10 b168 m1303.5 rU
R713 c10 b204 m1639.5 rW
R714 c10 b228 m1843.5 rL
R715 c10 b204 m1615.5 rU
R716 c8 b228 m1819.5 rS
R717 c8 b216 m1705.5 rS
R718 c7 b176 m1597.5 rL
R719 c6 b165 m1421.5 rL
R720 c10 b156 m1256.5 rL
R721 c10 b120 m944.5 rW
R722 c10 b144 m1184.5 rS
R723 c10 b144 m1112.5 rL
R724 c8 b120 m968.5 rS
R725 c8 b120 m908.5 rH
R726 c9 b96 m788.5 rH
R727 c10 b84 m692.5 rL
R728 c8 b84 m608.5 rU
R729 c10 b84 m692.5 rH
R730 c10 b72 m524.5 rB
R731 c8 b60 m452.5 rS
R732 c8 b60 m422.5 rW
R733 c8 b72 m542.5 rH
R734 c6 b55 m470.5 rL
R735 c7 b55 m415.5 rD
R736 c6 b55 m415.5 rL
R737 c10 b48 m360.5 rH
R738 c10 b48 m312.5 rD
R739 c9 b48 m312.5 rW
R740 c6 b44 m360.5 rH
R741 c10 b48 m316.5 rD
