============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: K
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R338 c2 b3060 m33990.0 rS
R339 c2 b2600 m32460.0 rU
R340 c1 b2808 m35060.0 rD
R341 c0 b2106 m35060.0 rL
R342 c-1 b1650 m32954.0 rU
R343 c-1 b1735 m34604.0 rL
R344 c-1 b1645 m32869.0 rB
R345 c0 b1878 m31224.0 rW
R346 c0 b2324 m33102.0 rJ
R347 c0 b2196 m36588.0 rL
R348 c-1 b1720 m34392.0 rU
R349 c-1 b1810 m36112.0 rL
R350 c1 b2408 m34302.0 rW
R351 c1 b2944 m36710.0 rD
R352 c1 b2576 m36710.0 rL
R353 c1 b2394 m34134.0 rU
R354 c0 b2730 m38922.0 rU
R355 c2 b3552 m44382.0 rL
R356 c1 b2863 m40830.0 rB
R357 c0 b2660 m37967.0 rU
R358 c0 b2442 m40627.0 rL
R359 c0 b2506 m35743.0 rH
R360 c0 b1998 m33237.0 rJ
R361 c0 b2178 m36234.0 rU
R362 c-1 b1925 m38412.0 rU
R363 c-1 b2020 m40337.0 rU
R364 c1 b2968 m42357.0 rU
R365 c2 b3864 m48293.0 rB
R366 c2 b4005 m44429.0 rL
R367 c3 b3645 m40424.0 rU
R368 c2 b3528 m44069.0 rU
R369 c1 b3808 m47597.0 rL
R370 c2 b3504 m43789.0 rW
R371 c0 b3311 m47293.0 rJ
R372 c-1 b2615 m52260.0 rW
R373 c-1 b2745 m54875.0 rW
R374 c1 b4228 m60365.0 rD
R375 c2 b4832 m60365.0 rS
R376 c2 b4640 m57949.0 rS
R377 c2 b5013 m55629.0 rL
R378 c6 b5070 m50616.0 rH
R379 c6 b5016 m45546.0 rB
R380 c5 b4060 m40530.0 rL
R381 c5 b3650 m36470.0 rU
R382 c3 b3618 m40120.0 rH
R383 c4 b3660 m36502.0 rL
R384 c3 b2961 m32842.0 rS
R385 c2 b2826 m31361.5 rJ
R386 c1 b2499 m35600.5 rU
R387 c0 b2667 m38099.5 rL
R388 c1 b2840 m35432.5 rU
R389 c2 b3064 m38272.5 rL
R390 c1 b2471 m35208.5 rW
R391 c0 b2262 m37679.5 rL
R392 c1 b2485 m35417.5 rL
R393 c2 b2640 m32932.5 rS
R394 c1 b2536 m31612.5 rL
R395 c0 b1746 m29076.5 rL
R396 c0 b1918 m27330.5 rS
R397 c0 b1584 m26371.5 rW
R398 c-1 b1400 m27955.5 rW
R399 c-2 b1470 m29355.5 rJ
R400 c-2 b1580 m31560.5 rB
R401 c-3 b1200 m29980.5 rW
R402 c-4 b936 m31180.5 rU
R403 c-3 b1288 m32116.5 rU
R404 c-3 b1388 m34692.5 rL
R405 c0 b2004 m33304.5 rL
R406 c1 b2198 m31300.5 rL
R407 c1 b2336 m29102.5 rW
R408 c0 b2205 m31438.5 rU
R409 c1 b2696 m33643.5 rL
R410 c0 b1981 m28251.5 rH
R411 c-2 b1315 m26270.5 rU
R412 c0 b1740 m28900.5 rL
R413 c-1 b1275 m25420.5 rB
R414 c-1 b1210 m24145.5 rB
R415 c-2 b1150 m22935.5 rL
R416 c-1 b1090 m21785.5 rW
R417 c-2 b1145 m22875.5 rU
R418 c-3 b964 m24020.5 rB
R419 c-2 b1155 m23056.5 rJ
R420 c-2 b1240 m24789.5 rL
R421 c-4 b708 m23549.5 rB
R422 c-4 b687 m22841.5 rU
R423 c-5 b708 m23528.5 rD
R424 c-4 b708 m23528.5 rL
R425 c-4 b687 m22820.5 rL
R426 c-3 b888 m22133.5 rU
R427 c-3 b960 m23909.5 rW
R428 c-4 b747 m24869.5 rW
R429 c-6 b514 m25616.5 rL
R430 c-4 b738 m24588.5 rL
R431 c-2 b1195 m23850.5 rW
R432 c-2 b1315 m26240.5 rB
R433 c-3 b1000 m24925.5 rH
R434 c-1 b1200 m23925.5 rW
R435 c-1 b1260 m25125.5 rU
R436 c-3 b1056 m26385.5 rL
R437 c-1 b1270 m25329.5 rU
R438 c-2 b1330 m26599.5 rS
R439 c-3 b1040 m25934.5 rL
R440 c-2 b1245 m24894.5 rU
R441 c-1 b1370 m27384.5 rU
R442 c0 b1728 m28754.5 rD
R443 c0 b2016 m28754.5 rW
R444 c0 b2296 m32786.5 rW
R445 c-1 b1755 m35082.5 rB
R446 c-2 b1670 m33327.5 rL
R447 c-1 b1585 m31657.5 rS
R448 c-1 b1545 m30865.0 rW
R449 c-2 b1625 m32410.0 rU
R450 c-2 b1705 m34035.0 rW
R451 c0 b2250 m37445.0 rL
R452 c-1 b1760 m35195.0 rU
R453 c0 b2220 m36955.0 rW
R454 c-2 b1960 m39175.0 rS
R455 c-1 b1910 m38195.0 rU
R456 c-2 b2105 m42015.0 rJ
R457 c-3 b1808 m45173.0 rW
R458 c-2 b2350 m46981.0 rL
R459 c-3 b1788 m44631.0 rL
R460 c-5 b1287 m42843.0 rJ
R461 c-6 b896 m44774.0 rU
R462 c-6 b914 m45670.0 rW
R463 c-6 b950 m47498.0 rW
R464 c-4 b1482 m49398.0 rL
R465 c-4 b1440 m47916.0 rB
R466 c-3 b1860 m46476.0 rW
R467 c-3 b1936 m48336.0 rL
R468 c-1 b2320 m46400.0 rD
R469 c-1 b2320 m46400.0 rJ
R470 c-1 b2495 m49880.0 rH
R471 c1 b3792 m47385.0 rU
R472 c2 b4950 m54969.0 rW
R473 c0 b4200 m59919.0 rL
R474 c2 b4644 m51519.0 rW
R475 c2 b4496 m56163.0 rL
R476 c2 b4136 m51667.0 rH
R477 c1 b3808 m47531.0 rL
R478 c0 b2628 m43723.0 rW
R479 c0 b2784 m46351.0 rL
R480 c-1 b2180 m43567.0 rL
R481 c-1 b2070 m41387.0 rU
R482 c-1 b2280 m45527.0 rS
R483 c-1 b2220 m44387.0 rU
R484 c-1 b2445 m48827.0 rW
R485 c-2 b2565 m51272.0 rJ
R486 c-2 b2760 m55120.0 rL
R487 c0 b3144 m52360.0 rB
R488 c-1 b2465 m49216.0 rL
R489 c0 b3276 m46751.0 rB
R490 c0 b3045 m43475.0 rS
R491 c0 b2520 m41952.5 rS
R492 c0 b2442 m40692.5 rW
R493 c0 b2592 m43134.5 rL
R494 c0 b2436 m40542.5 rD
R495 c-2 b2030 m40542.5 rW
R496 c-1 b2235 m44602.5 rW
R497 c-1 b2345 m46837.5 rJ
R498 c-3 b2016 m50355.5 rW
R499 c-3 b2096 m52371.5 rL
R500 c-2 b2515 m50275.5 rW
R501 c-2 b2640 m52790.5 rL
R502 c-2 b2510 m50150.5 rL
R503 c0 b2862 m47640.5 rL
R504 c0 b2940 m41916.5 rH
R505 c1 b2730 m38976.5 rL
R506 c2 b2904 m36246.5 rS
R507 c3 b3132 m34794.5 rD
R508 c1 b2436 m34794.5 rD
R509 c1 b2436 m34794.5 rL
R510 c1 b2100 m29922.5 rU
R511 c2 b2736 m34122.5 rB
R512 c1 b2198 m31386.5 rJ
R513 c0 b2429 m34683.5 rB
R514 c0 b1938 m32254.5 rS
R515 c-1 b1565 m31285.5 rW
R516 c-2 b1645 m32850.5 rU
R517 c-1 b1725 m34495.5 rL
R518 c-2 b1640 m32770.5 rL
R519 c-3 b1248 m31130.5 rU
R520 c-3 b1296 m32378.5 rH
R521 c-3 b1244 m31082.5 rL
R522 c-2 b1495 m29838.5 rW
R523 c-3 b1256 m31333.5 rS
R524 c-3 b1232 m30705.5 rW
R525 c-5 b960 m31937.5 rU
R526 c-3 b1316 m32897.5 rW
R527 c-3 b1372 m34213.5 rD
R528 c-2 b1715 m34213.5 rB
R529 c-1 b1625 m32498.5 rU
R530 c-2 b1710 m34123.5 rL
R531 c-1 b1625 m32413.5 rJ
R532 c0 b2443 m34851.5 rU
R533 c0 b2786 m39737.5 rL
R534 c-1 b1850 m36951.5 rW
R535 c-1 b1945 m38801.5 rU
R536 c0 b2989 m42691.5 rS
R537 c0 b2472 m41197.0 rJ
R538 c0 b2700 m44905.0 rL
R539 c1 b2961 m42205.0 rU
