============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: Z
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R603 c5 b790 m7890.5 rL
R604 c5 b720 m7100.5 rW
R605 c2 b632 m7820.5 rS
R606 c1 b608 m7504.5 rU
R607 c0 b574 m8112.5 rU
R608 c0 b609 m8686.5 rU
R609 c1 b800 m9904.5 rU
R610 c0 b756 m10704.5 rB
R611 c1 b800 m9948.5 rL
R612 c2 b828 m9148.5 rW
R613 c0 b600 m9976.5 rU
R614 c-1 b530 m10576.5 rW
R615 c-4 b336 m11106.5 rB
R616 c-4 b324 m10770.5 rL
R617 c-2 b510 m10122.5 rH
R618 c-1 b485 m9612.5 rU
R619 c0 b606 m10097.5 rW
R620 c1 b756 m10703.5 rW
R621 c2 b920 m11459.5 rU
R622 c1 b992 m12379.5 rW
R623 c3 b1206 m13371.5 rH
R624 c1 b854 m12165.5 rU
R625 c0 b786 m13019.5 rW
R626 c0 b876 m14591.5 rS
R627 c1 b1136 m14153.5 rL
R628 c0 b917 m13017.5 rB
R629 c-1 b610 m12100.5 rB
R630 c-2 b575 m11490.5 rL
R631 c-4 b330 m10915.5 rU
R632 c-4 b339 m11245.5 rS
R633 c-5 b333 m11076.0 rU
R634 c-4 b354 m11742.0 rL
R635 c1 b798 m11388.0 rJ
R636 c1 b1008 m12585.0 rD
R637 c4 b1260 m12585.0 rU
R638 c3 b1251 m13845.0 rL
R639 c3 b1134 m12594.0 rD
R640 c3 b1134 m12594.0 rD
R641 c2 b1008 m12594.0 rU
R642 c2 b1233 m13602.0 rB
R643 c2 b992 m12369.0 rU
R644 c2 b1206 m13361.0 rW
R645 c4 b1314 m14567.0 rW
R646 c2 b1431 m15881.0 rH
R647 c3 b1305 m14450.0 rJ
R648 c1 b1155 m16408.0 rH
R649 c0 b1071 m15253.0 rL
R650 c3 b1278 m14182.0 rL
R651 c2 b1040 m12904.0 rU
R652 c1 b1120 m13944.0 rS
R653 c0 b938 m13384.0 rU
R654 c2 b1152 m14322.0 rD
R655 c1 b1152 m14322.0 rW
R656 c-2 b775 m15474.0 rL
R657 c0 b882 m14699.0 rU
R658 c-2 b780 m15581.0 rW
R659 c0 b1148 m16361.0 rJ
R660 c0 b1086 m18083.0 rH
R661 c0 b960 m15911.0 rL
R662 c3 b1350 m14951.0 rW
R663 c6 b1640 m16301.0 rW
R664 c5 b1800 m17941.0 rS
R665 c4 b1539 m17041.0 rL
R666 c2 b1404 m15502.0 rW
R667 c0 b1020 m16906.0 rU
R668 c0 b1080 m17926.0 rL
R669 c-1 b845 m16846.0 rS
R670 c-2 b825 m16423.5 rL
R671 c0 b1092 m15598.5 rB
R672 c1 b1168 m14506.5 rS
R673 c0 b980 m13922.5 rL
R674 c3 b1080 m11962.5 rL
R675 c4 b981 m10882.5 rD
R676 c2 b872 m10882.5 rU
R677 c5 b1180 m11754.5 rB
R678 c5 b1060 m10574.5 rD
R679 c3 b954 m10574.5 rW
R680 c3 b1044 m11528.5 rU
R681 c2 b1008 m12572.5 rW
R682 c2 b1224 m13580.5 rB
R683 c1 b992 m12356.5 rL
R684 c1 b912 m11364.5 rU
R685 c0 b738 m12276.5 rL
R686 c-3 b464 m11538.5 rD
R687 c-3 b464 m11538.5 rU
R688 c0 b726 m12002.5 rJ
R689 c-3 b524 m13091.5 rL
R690 c-1 b605 m12043.5 rU
R691 c0 b762 m12648.5 rW
R692 c-2 b675 m13410.5 rL
R693 c0 b768 m12735.5 rJ
R694 c0 b834 m13887.5 rS
R695 c0 b810 m13470.5 rS
R696 c0 b917 m13065.5 rU
R697 c2 b1192 m14899.5 rU
R698 c2 b1288 m16091.5 rW
R699 c1 b1392 m17379.5 rW
R700 c1 b1316 m18771.5 rB
R701 c0 b1050 m17455.5 rH
R702 c-3 b660 m16405.5 rD
R703 c0 b990 m16405.5 rL
R704 c1 b1015 m14425.5 rS
R705 c2 b1120 m13918.0 rU
R706 c0 b906 m15038.0 rU
R707 c-1 b800 m15944.0 rW
R708 c0 b1008 m16744.0 rL
R709 c0 b948 m15736.0 rU
R710 c0 b1169 m16684.0 rS
R711 c0 b966 m16099.5 rU
R712 c2 b1539 m17065.5 rH
R713 c1 b1092 m15526.5 rS
R714 c2 b1350 m14980.5 rB
R715 c1 b959 m13630.5 rH
R716 c-1 b635 m12671.5 rW
R717 c-3 b536 m13306.5 rB
R718 c-2 b640 m12770.5 rS
R719 c0 b750 m12450.5 rS
R720 c1 b968 m12075.5 rL
R721 c-1 b560 m11107.5 rB
R722 c0 b636 m10547.5 rD
R723 c-4 b318 m10547.5 rL
R724 c-3 b412 m10229.5 rS
R725 c-2 b505 m10023.5 rU
R726 c0 b636 m10528.5 rW
R727 c0 b784 m11164.5 rW
R728 c0 b720 m11948.5 rW
