============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: 7
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R579 c50 b262224 m2185135.5 rL
R580 c50 b230760 m1922911.5 rW
R581 c51 b258444 m2153671.5 rL
R582 c51 b196416 m1636783.5 rD
R583 c51 b196416 m1636783.5 rB
R584 c51 b172848 m1440367.5 rH
R585 c50 b152112 m1267519.5 rW
R586 c49 b170364 m1419631.5 rS
R587 c49 b160140 m1334449.5 rB
R588 c49 b140928 m1174309.5 rW
R589 c49 b157836 m1315237.5 rL
R590 c50 b119952 m999565.5 rH
R591 c49 b105564 m879613.5 rS
R592 c49 b99228 m826831.5 rH
R593 c49 b87324 m727603.5 rU
R594 c49 b97800 m814927.5 rD
R595 c49 b97800 m814927.5 rL
R596 c50 b86064 m717127.5 rL
R597 c51 b75732 m631063.5 rH
R598 c51 b66648 m555331.5 rH
R599 c49 b58644 m488683.5 rL
R600 c49 b51612 m430039.5 rU
R601 c50 b63996 m533263.5 rJ
R602 c50 b75516 m629257.5 rL
R603 c52 b66456 m553741.5 rL
R604 c51 b58476 m487285.5 rU
R605 c52 b65496 m545761.5 rL
R606 c53 b57636 m480265.5 rW
R607 c53 b64560 m537901.5 rS
R608 c52 b60684 m505621.5 rS
R609 c52 b57036 m475279.5 rH
R610 c52 b50196 m418243.5 rL
R611 c53 b38148 m317851.5 rB
R612 c53 b33576 m279703.5 rL
R613 c53 b29544 m246127.5 rW
R614 c52 b33084 m275671.5 rW
R615 c53 b41028 m341839.5 rU
R616 c52 b45948 m382867.5 rU
R617 c52 b51468 m428815.5 rW
R618 c51 b57636 m480283.5 rS
R619 c51 b54180 m451465.5 rW
R620 c49 b60684 m505645.5 rS
R621 c49 b57048 m475303.5 rU
R622 c49 b70728 m589399.5 rB
R623 c48 b62244 m518671.5 rL
R624 c49 b54780 m456427.5 rL
R625 c51 b48204 m401647.5 rL
R626 c50 b42420 m353443.5 rL
R627 c51 b32244 m268603.5 rL
R628 c52 b28368 m236359.5 rL
R629 c53 b24960 m207991.5 rU
R630 c52 b27960 m232951.5 rW
R631 c53 b31320 m260911.5 rS
R632 c53 b29436 m245251.5 rL
R633 c53 b25908 m215815.5 rW
R634 c52 b29016 m241723.5 rU
R635 c52 b32496 m270739.5 rL
R636 c53 b28596 m238243.5 rH
R637 c53 b25164 m209647.5 rS
R638 c53 b23652 m197065.5 rJ
R639 c53 b27912 m232543.5 rS
R640 c53 b26232 m218587.5 rJ
R641 c53 b30960 m257935.5 rU
R642 c54 b34668 m288895.5 rL
R643 c56 b30516 m254227.5 rS
R644 c56 b28680 m238969.5 rW
R645 c54 b32124 m267649.5 rW
R646 c54 b35976 m299773.5 rL
R647 c56 b27348 m227821.5 rU
R648 c54 b30624 m255169.5 rL
R649 c55 b26952 m224545.5 rD
R650 c56 b26952 m224545.5 rD
R651 c54 b26952 m224545.5 rS
R652 c54 b25332 m211069.5 rH
R653 c54 b22296 m185737.5 rL
R654 c55 b19620 m163441.5 rU
R655 c55 b21972 m183061.5 rL
R656 c57 b16704 m139117.5 rL
R657 c57 b14700 m122413.5 rL
